title,salary,employee_location,company_location
Data Engineer,132320,US,US
Machine Learning Engineer,37300,GB,GB
Data Analyst,164000,US,US
Data Engineer,155000,US,US
Machine Learning Engineer,124333,GB,GB
Machine Learning Engineer,98158,GB,GB
AI Scientist,120000,US,US
Data Analyst,112900,US,US
Data Analyst,90320,US,US
Data Analytics Manager,145000,US,US
Data Analytics Manager,105400,US,US
Machine Learning Engineer,87932,FR,DE
Data Engineer,117789,GB,GB
Data Scientist,215300,US,US
Data Scientist,158200,US,US
Data Engineer,209100,US,US
Data Engineer,154600,US,US
Data Analyst,115934,US,US
Data Analyst,81666,US,US
Data Engineer,175000,US,US
Data Engineer,98158,GB,GB
Data Analyst,58000,US,US
Data Engineer,183600,US,US
Data Analyst,52351,GB,GB
Data Scientist,180000,US,US
Data Scientist,71982,GB,GB
Data Scientist,45807,GB,GB
Data Engineer,65949,GR,GR
Data Engineer,49461,GR,GR
Data Engineer,78526,GB,GB
Data Engineer,58894,GB,GB
Data Scientist,260000,US,US
Data Science Engineer,60000,AR,MX
Data Engineer,63900,US,US
Machine Learning Scientist,160000,US,US
Machine Learning Scientist,112300,US,US
Data Science Manager,241000,US,US
Data Science Manager,159000,US,US
Data Scientist,180000,US,US
Data Scientist,80000,US,US
Data Engineer,82900,US,US
Data Engineer,100800,US,US
Data Engineer,49461,ES,ES
Data Scientist,140400,US,US
Data Analyst,39263,GB,GB
Data Analyst,43966,ES,ES
Data Analyst,32974,ES,ES
Data Engineer,87932,ES,ES
Data Engineer,76940,ES,ES
Data Engineer,104702,GB,GB
Data Engineer,91614,GB,GB
Data Engineer,65949,ES,ES
Data Engineer,87932,GR,GR
Machine Learning Engineer,189650,US,US
Machine Learning Engineer,164996,US,US
Data Analyst,43966,GR,GR
Data Analyst,32974,GR,GR
Data Engineer,98158,GB,GB
Data Engineer,78526,GB,GB
Data Scientist,215300,US,US
Data Engineer,76940,GR,GR
Data Engineer,209100,US,US
Data Engineer,154600,US,US
Data Engineer,180000,US,US
ML Engineer,21983,PT,PT
Data Engineer,80000,US,US
Machine Learning Developer,78791,CA,CA
Director of Data Science,196979,CA,CA
Machine Learning Engineer,120000,US,US
Computer Vision Engineer,125000,US,US
NLP Engineer,37236,US,US
Data Engineer,105000,US,US
Lead Machine Learning Engineer,87932,DE,DE
Business Data Analyst,18442,IN,IN
Data Scientist,31615,IN,IN
Machine Learning Infrastructure Engineer,58255,PT,PT
Financial Data Analyst,100000,US,US
Data Engineer,54957,DE,DE
Data Scientist,18442,IN,IN
Principal Data Scientist,162674,DE,DE
Data Engineer,120000,US,US
Research Scientist,144000,US,US
Data Scientist,104890,US,US
Data Engineer,100000,US,US
Data Scientist,140000,US,US
Data Analyst,135000,US,US
Data Analyst,50000,US,US
Data Scientist,220000,US,US
Data Scientist,140000,US,US
Data Scientist,183228,GB,GB
Data Scientist,91614,GB,GB
Data Scientist,185100,US,US
Machine Learning Engineer,220000,US,US
Data Scientist,200000,US,US
Data Scientist,120000,US,US
Machine Learning Engineer,120000,AE,AE
Machine Learning Engineer,65000,AE,AE
Data Engineer,324000,US,US
Data Engineer,216000,US,US
Data Engineer,210000,US,US
Machine Learning Engineer,120000,US,US
Data Scientist,230000,US,US
Data Scientist,100000,DZ,DZ
Data Scientist,100000,CA,US
Applied Machine Learning Scientist,31875,TN,CZ
Head of Data,200000,MY,US
Principal Data Analyst,75000,CA,CA
Data Scientist,35590,PL,PL
Machine Learning Developer,78791,CA,CA
Data Scientist,100000,BR,US
Machine Learning Scientist,153000,US,US
Data Engineer,58035,PK,DE
Data Scientist,165000,US,US
Research Scientist,93427,FR,FR
Data Scientist,52396,CA,CA
Machine Learning Engineer,62651,NL,NL
Head of Data,32974,EE,EE
Data Scientist,40000,JP,MY
Machine Learning Engineer,87425,AU,AU
Data Engineer,115000,US,US
Data Scientist,86703,AU,AU
Applied Machine Learning Scientist,75000,BO,US
Research Scientist,64849,AT,AT
Research Scientist,120000,US,US
Applied Data Scientist,157000,US,US
Computer Vision Software Engineer,150000,AU,AU
Business Data Analyst,70912,CA,CA
Data Engineer,65000,US,US
Machine Learning Engineer,71444,IE,IE
Data Analytics Engineer,20000,PK,PK
Data Scientist,48000,RU,US
Data Science Manager,152500,US,US
Data Engineer,68147,FR,FR
Data Scientist,122346,CH,CH
Applied Data Scientist,380000,US,US
Data Scientist,69336,CA,CA
Data Analyst,20000,GR,GR
Data Analytics Lead,405000,US,US
Data Scientist,135000,US,US
Applied Data Scientist,177000,US,US
Data Scientist,78000,US,US
Data Analyst,135000,US,US
Data Analyst,100000,US,US
Data Analyst,90320,US,US
Data Analyst,85000,CA,CA
Data Analyst,75000,CA,CA
Machine Learning Engineer,214000,US,US
Machine Learning Engineer,192600,US,US
Data Architect,266400,US,US
Data Architect,213120,US,US
Data Analyst,112900,US,US
Data Engineer,155000,US,US
Data Scientist,141300,US,US
Data Scientist,102100,US,US
Data Analyst,115934,US,US
Data Analyst,81666,US,US
Data Engineer,206699,US,US
Data Engineer,99100,US,US
Data Engineer,130000,US,US
Data Engineer,115000,US,US
Data Engineer,110500,US,US
Data Engineer,130000,US,US
Data Analyst,99050,US,US
Data Engineer,160000,US,US
Data Scientist,205300,US,US
Data Scientist,140400,US,US
Data Scientist,176000,US,US
Data Scientist,144000,US,US
Data Engineer,200100,US,US
Data Engineer,160000,US,US
Data Engineer,145000,US,US
Data Engineer,70500,US,US
Data Scientist,205300,US,US
Data Scientist,140400,US,US
Analytics Engineer,205300,US,US
Analytics Engineer,184700,US,US
Data Engineer,175100,US,US
Data Engineer,140250,US,US
Data Analyst,116150,US,US
Data Engineer,54000,US,US
Data Analyst,170000,US,US
Data Analyst,65438,GB,GB
Data Analyst,80000,US,US
Data Scientist,140000,US,US
Data Scientist,210000,US,US
Data Scientist,140000,US,US
Data Analyst,100000,US,US
Data Analyst,69000,US,US
Data Scientist,210000,US,US
Data Scientist,140000,US,US
Data Scientist,210000,US,US
Data Analyst,150075,US,US
Data Engineer,100000,US,US
Data Engineer,25000,US,US
Data Analyst,126500,US,US
Data Analyst,106260,US,US
Data Engineer,220110,US,US
Data Engineer,160080,US,US
Data Analyst,105000,US,US
Data Analyst,110925,US,US
Data Analyst,45807,GB,GB
Data Scientist,140000,US,US
Data Analyst,99000,US,US
Data Analyst,60000,US,US
Data Architect,192564,US,US
Data Architect,144854,US,US
Data Scientist,230000,US,US
Data Scientist,150000,US,US
Data Analytics Manager,150260,US,US
Data Analytics Manager,109280,US,US
Data Scientist,210000,US,US
Data Analyst,170000,US,US
Data Scientist,160000,US,US
Data Scientist,130000,US,US
Data Analyst,67000,CA,CA
Data Analyst,52000,CA,CA
Data Engineer,154000,US,US
Data Engineer,126000,US,US
Data Analyst,129000,US,US
Data Analyst,150000,US,US
AI Scientist,200000,IN,US
